Company,Num_Employees
Banco BNP Paribas,8000
Farfetch,6800
Bosch,6584
Deloitte,6000
Accenture,5300
Siemens Portugal,4000
Capgemini Portugal,3600
Critical Techworks,2650
Natixis em Portugal,2400
PrimeIT,2360
CGI TI Portugal,2000
OutSystems,1700
NTT Data,1600
Devoteam Portugal,1500
Microsoft Portugal,1500
Aubay,1450
Critical Software,1400
Novabase,1325
Mindera,1000
Noesis,1000
Talkdesk,800
Blip.pt,700
Feedzai,600
Alter Solutions Portugal,600
Softinsa,600
Volkswagen Digital Solutions,550
Agap2 IT - Portugal,500
Sky Portugal,500
Critical Manufacturing,450
KCS IT,410
Mercedez-Benz.io,300
Smart Consulting,250
Adentis Portugal,241
Imaginary Cloud,64
Bee Engineering,200
Xpand IT,350
ITSector,600
WIT Software,350
Axians,1400
Inetum,2700
Kwan,300
EDP,5000
Affinity,370
Claranet portugal,900
Intellias,50
Red IT,120
Sword Health,350
Prozis,1500
Wellhub (anteriormente Gympass),220
Nokia Networks Portugal,2000
Glintt Global,1200
OLX,300
Kuehne+Nagel,130
Integer Consulting,350
PHC Software,262
Decskill,300
Revolut,1300
Innotech.pt,160
Cloudfare,340
Olisipo,700
Multivision,184
Banco de Portugal,1700
PwC Portugal,2900
Altice Labs,700
Syone,200
tb.lx,130
NOS,2400
HN Services,200
360 Imprimir,175
TIMWETECH,600
Miniclip,277