Company,Num_Employees,Address,Latitude,Longitude
Banco BNP Paribas,8000,"R. Alexandre Herculano 50, 1250-051 Lisboa, Portugal",38.721723,-9.151904499999999
Farfetch,6800,"R. do Instituto Industrial 7, 1200-225 Lisboa, Portugal",38.708326,-9.150789
Bosch,6584,"R. Padre Abel Varzim 25, 1800-220 Lisboa, Portugal",38.7707773,-9.1040827
Deloitte,6000,"Av. Eng. Duarte Pacheco, 1070-100 Lisboa, Portugal",38.7246636,-9.1573161
Accenture,5300,"Edifício Santos 37, Boqueirão do Duro 37 D-E, 1200-163 Lisboa, Portugal",38.7078079,-9.151362899999999
Siemens Portugal,4000,"R. Irmãos Siemens 1, 2720-093 Amadora, Portugal",38.7372277,-9.2291159
Capgemini Portugal,3600,"Avenida Colégio Militar 37F, Torre Colombo Oriente, Piso 10, 1500-180 Lisboa, Portugal",38.753732,-9.187977000000002
Critical Techworks,2650,"Av. Aquilino Ribeiro Machado 8, 1800-399 Lisboa, Portugal",38.7692419,-9.100040700000001
Natixis em Portugal,2400,"Av. do Brasil 43, 1700-062 Lisboa, Portugal",38.7559087,-9.149059
PrimeIT,2360,"Avenida 5 de Outubro 125 9º, 1050-052 Lisboa, Portugal",38.7396654,-9.1485535
CGI TI Portugal,2000,"Lisbon, Portugal",38.7222524,-9.1393366
OutSystems,1700,"Lisbon, Portugal",38.7222524,-9.1393366
NTT Data,1600,"Atrium Saldanha, Praça Duque de Saldanha 1 10º, 1050-094 Lisboa, Portugal",38.7329252,-9.144656099999999
Devoteam Portugal,1500,"Av. Dom João II 43, 1990-084 Lisboa, Portugal",38.7717804,-9.0980445
Microsoft Portugal,1500,"R. do Fogo de Santelmo 2.07.02, 1990-110 Lisboa, Portugal",38.7610168,-9.0944398
Aubay,1450,"Av. Duque de Ávila 46, 1050-083 Lisboa, Portugal",38.7353259,-9.1471758
Critical Software,1400,"R. Dr. Eduardo Neves 9, 1050-077 Lisboa, Portugal",38.7439488,-9.1485249
Novabase,1325,"R. de Entrecampos 28, 1700-162 Lisboa, Portugal",38.7453247,-9.1455021
Mindera,1000,"Lisbon, Portugal",38.7222524,-9.1393366
Noesis,1000,"Torres de Lisboa - Rua Tomás da Fonseca, Torre E, 14º piso, 1600-209 Lisboa, Portugal",38.7571197,-9.174658299999999
Talkdesk,800,"Edifício Rainbow, R. Amélia Rey Colaço Nº40 4º Piso, 2790-017 Carnaxide, Portugal",38.7226455,-9.2468931
Blip.pt,700,"Lisbon, Portugal",38.7222524,-9.1393366
Feedzai,600,"Edf. Lumnia, R. António Mega Ferreira 61 4-A, 1800-424 Lisboa, Portugal",38.7653129,-9.1001433
Alter Solutions Portugal,600,"Av. da República 18 15º, 1050-191 Lisboa, Portugal",38.7359534,-9.1450172
Softinsa,600,"Edifício Office Oriente, Rua do, R. Mar da China 3 B6, 1990-138 Lisboa, Portugal",38.7721424,-9.0968122
Volkswagen Digital Solutions,550,"Rua do Sol ao Rato 11, 1250-077 Lisboa, Portugal",38.7195384,-9.1569699
Agap2 IT - Portugal,500,"Lisbon, Portugal",38.7222524,-9.1393366
Sky Portugal,500,"R. de Entrecampos 28, 1700-158 Lisboa, Portugal",38.7453921,-9.1455608
Critical Manufacturing,450,"Lisbon, Portugal",38.7222524,-9.1393366
KCS IT,410,"R. Sousa Martins 10 Piso 6, 1050-218 Lisboa, Portugal",38.7287221,-9.1462217
Mercedez-Benz.io,300,"Av. Dom João II 41, 1990-084 Lisboa, Portugal",38.7712933,-9.097969899999999
Smart Consulting,250,"Rua Viriato 13E, Edifício Picoas Plaza, Núcleo 6, 3º Dto, 1050-206 Lisboa, Portugal",38.7305167,-9.148325000000002
Adentis Portugal,241,"R. Sousa Martins 10 4ºAndar, 1050-218 Lisboa, Portugal",38.7287808,-9.146221599999999
Imaginary Cloud,64,"Av. António Augusto de Aguiar 108 3rd Floor, 1050-019 Lisboa, Portugal",38.7326826,-9.1522724
Bee Engineering,200,"R. Sousa Martins 10 4º Andar, 1050-218 Lisboa, Portugal",38.72873,-9.1462405
Xpand IT,350,"Edifício Ageas Tejo, Praça Príncipe Perfeito 2 3º piso, 1990-278 Lisboa, Portugal",38.7613896,-9.0989041
ITSector,600,"Edifício Atrium do Saldanha, 1 - 9º A, 1050-094 Lisboa, Portugal",38.73293779999999,-9.144652599999999
WIT Software,350,"2, Alameda dos Oceanos 61, 1990-208 Lisboa, Portugal",38.7710415,-9.0958133
Axians,1400,"Av. República 87, 1050-197 Lisboa, Portugal",38.7426715,-9.147359
Inetum,2700,"Av. Duque de Loulé 12 4b, 1050-007 Lisboa, Portugal",38.7290699,-9.1442335
Kwan,300,"Av. Duque de Ávila 46, 3A, 1050-053, 1050-083 Lisboa, Portugal",38.7353259,-9.1469525
EDP,5000,"Lisbon, Portugal",38.7222524,-9.1393366
Affinity,370,"Avenida 5 de Outubro 125, 1050-052 Lisboa, Portugal",38.7397419,-9.1486137
Claranet portugal,900,"Lisbon, Portugal",38.7222524,-9.1393366
Intellias,50,"Lisbon, Portugal",38.7222524,-9.1393366
Red IT,120,"Alameda dos Oceanos 1 06 1.1D 3B, 1990-207 Lisboa, Portugal",38.768811,-9.0961404
Sword Health,350,"Praça da Alegria 1 Piso 2, 1269-177 Lisboa, Portugal",38.7180433,-9.144623
Prozis,1500,"Lisbon, Portugal",38.7222524,-9.1393366
Wellhub (anteriormente Gympass),220,"Lisbon, Portugal",38.7222524,-9.1393366
Nokia Networks Portugal,2000,"Lisbon, Portugal",38.7222524,-9.1393366
Glintt Global,1200,"Lisbon, Portugal",38.7222524,-9.1393366
OLX,300,"Praça Duque de Saldanha 1 Loja 65 - Piso, 1050-094 Lisboa, Portugal",38.7327592,-9.1444116
Kuehne+Nagel,130,"Lisbon, Portugal",38.7222524,-9.1393366
Integer Consulting,350,"R. Julieta Ferrão 10 8ºDTO, 1600-131 Lisboa, Portugal",38.7448005,-9.1523562
PHC Software,262,"Av. Prof. Dr. Cavaco Silva 7A, 2740-120 Porto Salvo, Portugal",38.7367432,-9.3043835
Decskill,300,"Av. José Malhoa 27 6º andar, 1070-157 Lisboa, Portugal",38.7380003,-9.1670844
Revolut,1300,"Lisbon, Portugal",38.7222524,-9.1393366
Innotech.pt,160,"Rua Viriato 13E Edifício Picoas Plaza - Núcleo 6, 4ºD, 1050-206 Lisboa, Portugal",38.7306314,-9.1483907
Cloudfare,340,"Av. da Índia 10, Torre B 6º Piso, 1300-299 Lisboa, Portugal",38.7018409,-9.17687
Olisipo,700,"Lisbon, Portugal",38.7222524,-9.1393366
Multivision,184,"R. Soeiro Pereira Gomes 1 10, 1600-196 Lisboa, Portugal",38.7447092,-9.1599878
Banco de Portugal,1700,"Lisbon, Portugal",38.7222524,-9.1393366
PwC Portugal,2900,"Palácio Sottomayor, Av. Fontes Pereira de Melo nº16, 1050-121 Lisboa, Portugal",38.728527,-9.1468019
Altice Labs,700,"Av. Rio de Janeiro 66, 1700-338 Lisboa, Portugal",38.7579976,-9.1405903
Syone,200,"Ed. Stern 3D, R. Alfredo da Silva 8A, 2610-016 Lisboa, Portugal",38.7404546,-9.229695099999999
tb.lx,130,"R. Nova da Trindade 3, 1200-301 Lisboa, Portugal",38.7110179,-9.1424372
NOS,2400,"CC Amoreiras Shopping Center, Av. Eng. Duarte Pacheco lj. 1109, 1070-103 Lisboa, Portugal",38.7233826,-9.1633661
HN Services,200,"Av. Dom João II 11, Torre A 11º Piso, 1990-077 Lisboa, Portugal",38.76369,-9.098339900000001
360 Imprimir,175,"Lisbon, Portugal",38.7222524,-9.1393366
TIMWETECH,600,"Av. Infante Santo 2H 3rd floor, 1350-178 Lisboa, Portugal",38.70433939999999,-9.1677674
Miniclip,277,"Lisbon, Portugal",38.7222524,-9.1393366
